legacy_path,occurrences,action,target,reason
/logiciel-orbitvu-stat,8,rewrite,/blog/orbitvu-lautomatisation-au-service-de-la-photographie-3d-360deg,blog-match
/animation-360,7,rewrite,/guide/animation-360-focus-stacking,guide-match
/plateaux-tournants-360,7,rewrite,/fr/studio-photo/orbitvu-kit-mini-midi,nextjs-redirect
/fichier-photo-png-transparent,6,rewrite,/guide/comment-obtenir-fond-blanc-parfait-sans-detourage-produit,guide-match
/photos-produits-multi-angles,6,rewrite,/guide/comment-creer-vues-multi-angles-automatique-objet,guide-match
/profils-animation-360-html5,6,rewrite,/blog/orbitvu-lautomatisation-au-service-de-la-photographie-3d-360deg,blog-match
/fonctions-simplicite,6,unlink,,410-gone
/3d,5,rewrite,/en/blog/5-cameras-realistic-3d-animation,nextjs-redirect
/iq-mask-detourage-photo-automatique,4,unlink,,410-gone
/shooting-photo-connecte,4,rewrite,/fr/ia-photo-produit,nextjs-redirect
/photographie-produits-formats-multiples,4,unlink,,410-gone
/produit/livestudio-reinvente-la-mise-en-images,4,unlink,,410-gone
/photographie-360-amazon,4,rewrite,/blog/photographie-360-amazon,blog-match
/comment-avoir-meilleure-photo-produit-e-commerce,4,rewrite,/blog/comment-avoir-meilleure-photo-produit-e-commerce,blog-match
/photographie-3d,3,rewrite,/blog/de-la-photographie-2d-aux-modeles-3d-de-vos-produits-introduction-a-la-photogrammetrie,blog-match
/produit/systeme-3d-packshot,3,rewrite,/blog/5-appareils-photo-en-simultane-pour-de-lanimation-3d-realiste,blog-match
/5-appareils-photo-en-simultane-pour-des-animations-3d-realistes,3,rewrite,/blog/5-appareils-photo-en-simultane-pour-de-lanimation-3d-realiste,blog-match
/photographie-de-produits-comment-presenter-vos-vetements,3,rewrite,/blog/photographie-de-produits-comment-presenter-vos-vetements,blog-match
/pourquoi-choisir-orbitvu-photographie-packshot,3,unlink,,410-gone
/guide-photographie-packshot-pourquoi-faire-packshots,3,rewrite,/blog/guide-photographie-packshot-pourquoi-faire-packshots,blog-match
/donnez-du-relief-a-votre-communication-maestrobot3d-par-packshotcreator,2,unlink,,410-gone
/eclairage-packshots-360-3d-produits,2,rewrite,/blog/eclairage-packshots-360-3d-produits,blog-match
/produit/packshotmacro-dl-gemmes,2,rewrite,/fr/studio-photo/alphashot-micro,nextjs-redirect
/produit/studio-photo-bijoux-gemmes,2,rewrite,/fr/studio-photo/alphashot-micro,nextjs-redirect
/produit/studio-macrophotographie-360-bagues,2,unlink,,410-gone
/lightcontrol-controle-eclairage-studio,2,rewrite,/fr/studios-photo-automatises,nextjs-redirect
/photographie-produits-360,2,unlink,,410-gone
/2d-photographie-produit,2,rewrite,/besoins-photographie-produit,nextjs-page-direct
/produit/table-studio-shooting-mode,2,rewrite,/fr/studio-photo/alphatable,nextjs-redirect
/fonctions-productivite,2,unlink,,410-gone
/fonctions-creativite,2,unlink,,410-gone
/image-fantome-transparence-photos,2,unlink,,410-gone
/produit/plateaux-tournants-360,2,unlink,,410-gone
/photos-produits-nettes-superfocus,2,rewrite,/guide/comment-faire-focus-stacking-pour-photographier-bague,guide-match
/avantages-toplight-photographie-produits,2,rewrite,/blog/avantages-toplight-photographie-produits,blog-match
/capture-multi-produits,2,rewrite,/guide/comment-creer-vues-multi-angles-automatique-objet,guide-match
/retouches-multiples-photos-produits,2,rewrite,/guide/modifier-couleur-produit-photo,guide-match
/studios-photo-bijoux,2,rewrite,/guide/quel-equipement-choisir-pour-photo-bijoux,guide-match
/how-to/equipments-photo-360-bijoux,2,rewrite,/fr/guide/quel-equipement-choisir-pour-photo-bijoux,nextjs-redirect
/produit/packshotalto-mark-2,2,unlink,,410-gone
/webinar-augmenter-votre-taux-de-conversion-grace-a-des-visuels-produit-en-360,2,unlink,,410-gone
/produit/packshot-plateau-tournant,2,rewrite,/fr/studio-photo/orbitvu-kit-mini-midi,nextjs-redirect
/les-animations-nouvelles-cles-de-reussite-pour-vos-sites-e%e2%80%91commerce,2,unlink,,410-gone
/a-chaque-metier-son-packshot,1,rewrite,/secteurs,nextjs-page-direct
/est-il-utile-dinternaliser-sa-production-de-photos-packshot,1,rewrite,/blog/est-il-utile-dinternaliser-sa-production-de-photos-packshot,blog-match
/taux-de-conversion-boostez-le-grace-aux-visuels-en-6-pratiques,1,unlink,,410-gone
/secteur/pieces-technique/exemples-photos-produits-techniques,1,unlink,,410-gone
/secteur/sports,1,rewrite,/fr/industrie/sports,nextjs-redirect
/optimisez-la-gestion-budgetaire-de-votre-studio-photo-interne,1,unlink,,410-gone
/comment-mieux-exporter-son-vin-en-chine-quel-role-jouent-les-visuels-e-commerce,1,rewrite,/fr,nextjs-page-direct
/meubles-decorations-comment-etre-plus-visibles-sur-le-web,1,rewrite,/blog/meubles-decorations-comment-etre-plus-visibles-sur-le-web,blog-match
/secteur/shootings-photo,1,rewrite,/fr/industrie/shootings-photo,nextjs-redirect
/studios-photo-vetements-textiles-mode,1,rewrite,/fr/studio-photo/fashion-studio,nextjs-redirect
/comparateur-packshot-studios-photo-produits,1,rewrite,/fr/studios-photo-automatises,nextjs-redirect
/packshotcreator-cologne-photokina-2018,1,unlink,,410-gone
/e-commerce-4-fondamentaux-pour-reduire-les-abandons-de-panier,1,rewrite,/blog/e-commerce-4-fondamentaux-pour-reduire-les-abandons-de-panier,blog-match
